# t_sec x y z
6.34474 -0.101404 0.619417 0.0131336
6.35553 -0.105527 0.664163 0.0111483
6.36633 -0.0981965 0.679282 0.00503963
6.37712 -0.0879645 0.684169 0.0131336
6.38792 -0.0684169 0.662941 0.0351247
6.39871 -0.0636827 0.697913 0.0723875
6.40951 -0.0439823 0.705854 0.038179
6.42031 -0.0490219 0.697913 0.0177151
6.4311 -0.0496328 0.723264 0.0149662
6.4419 -0.0485637 0.676075 0.0160352
6.45269 -0.0529925 0.619722 0.0116064
6.46349 -0.0850629 0.640492 0.0100793
6.47428 -0.0957531 0.639423 0.0120646
6.48508 -0.0778853 0.700815 0.0135917
6.49587 -0.0759 0.894001 0.0169515
6.50667 -0.0856738 1.0849 0.0209221
6.51747 -0.057574 1.13544 0.0279471
6.53906 0.0329867 0.802676 0.0233656
6.54985 0.0280998 0.739605 0.0157298
6.56065 0.0100793 0.758694 0.0125227
6.57144 -0.00778853 0.763886 0.014508
6.58224 -0.00198531 0.675616 0.0201585
6.59304 0.0487165 0.697149 0.0221438
6.60383 0.08827 0.894001 0.0206167
6.61463 0.122478 1.10567 0.0189368
6.62542 0.146149 1.20539 0.0218384
6.63622 0.169057 1.24983 0.0238237
6.64701 0.170279 1.35123 0.0221438
6.65781 0.142484 1.48532 0.0198531
6.6686 0.0813977 1.43675 0.0177151
6.6794 0.0858265 1.3239 0.0181732
6.6902 0.0916297 1.24891 0.0201585
6.70099 0.101862 1.16706 0.00794124
